n1;n2;distance
0;1;17
0;2;17
0;3;16
0;4;15
0;5;16
0;6;11
0;7;10
0;8;8
0;9;18
0;10;16
0;11;9
0;12;4
0;13;6
0;14;14
0;15;16
0;16;10
0;17;4
0;18;1
0;19;4
0;20;13
0;21;16
0;22;2
0;23;17
0;24;15
0;25;5
0;26;5
0;27;13
0;28;5
0;29;18
1;2;18
1;3;1
1;4;6
1;5;25
1;6;20
1;7;10
1;8;21
1;9;2
1;10;18
1;11;8
1;12;17
1;13;23
1;14;5
1;15;20
1;16;14
1;17;13
1;18;17
1;19;16
1;20;8
1;21;23
1;22;15
1;23;3
1;24;5
1;25;13
1;26;22
1;27;14
1;28;15
1;29;19
2;3;18
2;4;13
2;5;11
2;6;8
2;7;8
2;8;25
2;9;18
2;10;4
2;11;18
2;12;21
2;13;13
2;14;13
2;15;5
2;16;7
2;17;17
2;18;18
2;19;20
2;20;11
2;21;8
2;22;18
2;23;16
2;24;13
2;25;13
2;26;22
2;27;5
2;28;12
2;29;2
3;4;6
3;5;25
3;6;20
3;7;10
3;8;20
3;9;2
3;10;18
3;11;7
3;12;16
3;13;22
3;14;5
3;15;20
3;16;14
3;17;12
3;18;16
3;19;15
3;20;8
3;21;23
3;22;14
3;23;3
3;24;5
3;25;12
3;26;21
3;27;14
3;28;14
3;29;19
4;5;20
4;6;15
4;7;5
4;8;23
4;9;8
4;10;13
4;11;10
4;12;19
4;13;20
4;14;5
4;15;15
4;16;9
4;17;15
4;18;16
4;19;18
4;20;4
4;21;18
4;22;15
4;23;6
4;24;2
4;25;10
4;26;20
4;27;9
4;28;10
4;29;14
5;6;5
5;7;15
5;8;24
5;9;25
5;10;8
5;11;23
5;12;20
5;13;10
5;14;20
5;15;6
5;16;11
5;17;20
5;18;16
5;19;20
5;20;18
5;21;3
5;22;18
5;23;23
5;24;20
5;25;18
5;26;21
5;27;12
5;28;16
5;29;12
6;7;10
6;8;19
6;9;20
6;10;5
6;11;18
6;12;15
6;13;5
6;14;15
6;15;5
6;16;6
6;17;15
6;18;11
6;19;15
6;20;13
6;21;5
6;22;13
6;23;18
6;24;15
6;25;13
6;26;16
6;27;9
6;28;11
6;29;10
7;8;18
7;9;10
7;10;8
7;11;10
7;12;14
7;13;15
7;14;5
7;15;10
7;16;4
7;17;10
7;18;11
7;19;13
7;20;3
7;21;13
7;22;10
7;23;8
7;24;5
7;25;5
7;26;15
7;27;4
7;28;5
7;29;9
8;9;22
8;10;24
8;11;13
8;12;4
8;13;14
8;14;18
8;15;24
8;16;18
8;17;8
8;18;8
8;19;5
8;20;21
8;21;24
8;22;8
8;23;21
8;24;21
8;25;13
8;26;5
8;27;21
8;28;13
8;29;26
9;10;18
9;11;9
9;12;18
9;13;24
9;14;5
9;15;20
9;16;14
9;17;14
9;18;18
9;19;17
9;20;8
9;21;23
9;22;16
9;23;3
9;24;7
9;25;14
9;26;23
9;27;14
9;28;15
9;29;19
10;11;18
10;12;20
10;13;10
10;14;13
10;15;2
10;16;6
10;17;16
10;18;16
10;19;19
10;20;11
10;21;5
10;22;18
10;23;16
10;24;13
10;25;13
10;26;21
10;27;5
10;28;11
10;29;5
11;12;9
11;13;15
11;14;5
11;15;18
11;16;12
11;17;5
11;18;9
11;19;8
11;20;8
11;21;23
11;22;7
11;23;8
11;24;8
11;25;5
11;26;14
11;27;14
11;28;7
11;29;19
12;13;10
12;14;14
12;15;20
12;16;14
12;17;4
12;18;4
12;19;2
12;20;17
12;21;20
12;22;4
12;23;17
12;24;17
12;25;9
12;26;9
12;27;17
12;28;9
12;29;22
13;14;20
13;15;10
13;16;11
13;17;10
13;18;6
13;19;10
13;20;18
13;21;10
13;22;8
13;23;23
13;24;20
13;25;11
13;26;11
13;27;14
13;28;11
13;29;15
14;15;15
14;16;9
14;17;10
14;18;14
14;19;13
14;20;3
14;21;18
14;22;12
14;23;3
14;24;3
14;25;10
14;26;19
14;27;9
14;28;10
14;29;14
15;16;6
15;17;16
15;18;16
15;19;19
15;20;13
15;21;5
15;22;18
15;23;18
15;24;15
15;25;13
15;26;21
15;27;6
15;28;11
15;29;6
16;17;10
16;18;11
16;19;13
16;20;7
16;21;11
16;22;12
16;23;12
16;24;9
16;25;7
16;26;15
16;27;3
16;28;5
16;29;8
17;18;4
17;19;3
17;20;13
17;21;20
17;22;2
17;23;13
17;24;13
17;25;7
17;26;9
17;27;13
17;28;5
17;29;18
18;19;4
18;20;14
18;21;16
18;22;2
18;23;17
18;24;16
18;25;6
18;26;6
18;27;14
18;28;6
18;29;19
19;20;16
19;21;20
19;22;3
19;23;16
19;24;16
19;25;8
19;26;9
19;27;16
19;28;8
19;29;21
20;21;16
20;22;13
20;23;5
20;24;3
20;25;8
20;26;18
20;27;7
20;28;8
20;29;12
21;22;18
21;23;21
21;24;18
21;25;18
21;26;21
21;27;10
21;28;16
21;29;10
22;23;15
22;24;15
22;25;5
22;26;7
22;27;14
22;28;7
22;29;19
23;24;5
23;25;13
23;26;22
23;27;12
23;28;13
23;29;17
24;25;10
24;26;20
24;27;9
24;28;10
24;29;14
25;26;10
25;27;9
25;28;2
25;29;14
26;27;18
26;28;10
26;29;23
27;28;8
27;29;5
28;29;13
