0;8;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000

8;0;2;3;6;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000

1000;2;0;1000;1000;3;1000;1000;1000;1000;1000;1000;1000;1000;1000

1000;3;1000;0;4;4;1000;1000;1000;1000;1000;10;1000;1000;1000

1000;6;1000;4;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000

1000;1000;3;4;1000;0;1000;2;1000;1000;1000;1000;1000;1000;3

1000;1000;1000;1000;1000;1000;0;1000;1000;7;1000;1000;1000;1000;2

1000;1000;1000;1000;1000;2;1000;0;1000;8;1000;1000;1000;1000;2

1000;1000;1000;1000;1000;1000;1000;1000;0;1000;1000;1000;1000;1000;8

1000;1000;1000;1000;1000;1000;7;8;1000;0;5;1000;10;8;1000

1000;1000;1000;1000;1000;1000;1000;1000;1000;5;0;10;5;1000;1000

1000;1000;1000;10;1000;1000;1000;1000;1000;1000;10;0;1000;1000;1000

1000;1000;1000;1000;1000;1000;1000;1000;1000;10;5;1000;0;2;1000

1000;1000;1000;1000;1000;1000;1000;1000;1000;8;1000;1000;2;0;1000

1000;1000;1000;1000;1000;3;2;2;8;1000;1000;1000;1000;1000;0

