n1;n2;distance
0;0;0
0;7;5
0;11;3
0;26;3
0;48;6
0;77;4
0;79;5
0;97;5
0;101;5
0;120;5
0;1;7
0;27;11
0;46;9
0;67;8
0;81;13
0;118;11
0;2;8
0;23;13
0;37;9
0;49;13
0;74;12
0;114;14
0;3;24
0;12;25
0;15;29
0;56;29
0;68;31
0;71;21
0;78;19
0;96;21
0;100;21
0;107;29
0;115;25
0;4;35
0;10;36
0;18;37
0;43;30
0;64;33
0;69;35
0;103;34
0;109;37
0;111;38
0;5;22
0;9;19
0;24;26
0;29;16
0;36;22
0;58;26
0;63;23
0;80;18
0;6;13
0;32;15
0;45;13
0;55;15
0;60;13
0;73;8
0;112;19
0;40;9
0;65;9
0;93;7
0;8;24
0;21;26
0;22;23
0;30;19
0;35;21
0;41;19
0;57;25
0;119;28
0;66;16
0;70;17
0;72;15
0;124;15
0;86;32
0;117;32
0;13;17
0;19;24
0;50;14
0;76;17
0;83;15
0;92;14
0;95;15
0;14;19
0;53;17
0;61;22
0;106;24
0;108;23
0;16;18
0;62;25
0;17;27
0;28;33
0;42;25
0;59;25
0;89;21
0;90;29
0;98;30
0;113;26
0;104;30
0;20;20
0;75;20
0;85;21
0;125;16
0;87;27
0;102;27
0;25;14
0;33;18
0;38;19
0;39;14
0;88;11
0;91;15
0;121;13
0;126;9
0;52;16
0;94;15
0;122;16
0;31;19
0;54;24
0;47;25
0;51;18
0;34;34
0;123;20
0;44;10
0;82;11
0;116;9
0;105;28
0;99;9
0;84;32
0;110;31
7;0;5
7;7;0
7;11;6
7;26;3
7;48;9
7;77;8
7;79;10
7;97;10
7;101;2
7;120;2
7;1;10
7;27;14
7;46;12
7;67;11
7;81;16
7;118;14
7;2;12
7;23;17
7;37;14
7;49;17
7;74;16
7;114;18
7;3;28
7;12;29
7;15;33
7;56;33
7;68;35
7;71;25
7;78;23
7;96;25
7;100;25
7;107;33
7;115;29
7;4;38
7;10;39
7;18;40
7;43;33
7;64;36
7;69;38
7;103;37
7;109;40
7;111;41
7;5;25
7;9;22
7;24;29
7;29;19
7;36;25
7;58;29
7;63;26
7;80;21
7;6;16
7;32;15
7;45;16
7;55;18
7;60;16
7;73;11
7;112;22
7;40;5
7;65;5
7;93;3
7;8;21
7;21;23
7;22;20
7;30;16
7;35;18
7;41;16
7;57;22
7;119;25
7;66;20
7;70;21
7;72;19
7;124;19
7;86;35
7;117;35
7;13;13
7;19;21
7;50;10
7;76;14
7;83;11
7;92;11
7;95;11
7;14;23
7;53;21
7;61;26
7;106;28
7;108;27
7;16;22
7;62;29
7;17;30
7;28;36
7;42;28
7;59;28
7;89;24
7;90;32
7;98;33
7;113;29
7;104;33
7;20;17
7;75;22
7;85;18
7;125;13
7;87;31
7;102;31
7;25;11
7;33;16
7;38;18
7;39;13
7;88;8
7;91;12
7;121;10
7;126;9
7;52;19
7;94;18
7;122;19
7;31;19
7;54;22
7;47;25
7;51;21
7;34;38
7;123;17
7;44;7
7;82;7
7;116;6
7;105;31
7;99;12
7;84;36
7;110;35
11;0;3
11;7;6
11;11;0
11;26;5
11;48;9
11;77;2
11;79;4
11;97;5
11;101;8
11;120;8
11;1;4
11;27;8
11;46;6
11;67;5
11;81;10
11;118;8
11;2;6
11;23;11
11;37;8
11;49;11
11;74;10
11;114;12
11;3;22
11;12;23
11;15;27
11;56;27
11;68;29
11;71;19
11;78;17
11;96;19
11;100;19
11;107;27
11;115;23
11;4;32
11;10;33
11;18;34
11;43;27
11;64;30
11;69;32
11;103;31
11;109;34
11;111;35
11;5;19
11;9;16
11;24;23
11;29;13
11;36;19
11;58;23
11;63;20
11;80;15
11;6;16
11;32;17
11;45;16
11;55;18
11;60;16
11;73;11
11;112;22
11;40;11
11;65;11
11;93;9
11;8;24
11;21;28
11;22;23
11;30;16
11;35;24
11;41;20
11;57;22
11;119;28
11;66;14
11;70;15
11;72;13
11;124;13
11;86;29
11;117;29
11;13;19
11;19;26
11;50;16
11;76;19
11;83;17
11;92;16
11;95;17
11;14;17
11;53;15
11;61;20
11;106;22
11;108;21
11;16;16
11;62;23
11;17;24
11;28;30
11;42;22
11;59;22
11;89;18
11;90;26
11;98;27
11;113;23
11;104;27
11;20;22
11;75;23
11;85;23
11;125;19
11;87;25
11;102;25
11;25;15
11;33;15
11;38;16
11;39;11
11;88;14
11;91;18
11;121;16
11;126;11
11;52;13
11;94;12
11;122;13
11;31;16
11;54;21
11;47;22
11;51;15
11;34;32
11;123;23
11;44;13
11;82;13
11;116;12
11;105;25
