order_id,order_date,order_customer_id,order_status
1,1374735600000,11599,CLOSED
2,1374735600000,256,PENDING_PAYMENT
3,1374735600000,12111,COMPLETE
4,1374735600000,8827,CLOSED
5,1374735600000,11318,COMPLETE
6,1374735600000,7130,COMPLETE
7,1374735600000,4530,COMPLETE
8,1374735600000,2911,PROCESSING
9,1374735600000,5657,PENDING_PAYMENT
10,1374735600000,5648,PENDING_PAYMENT
11,1374735600000,918,PAYMENT_REVIEW
12,1374735600000,1837,CLOSED
13,1374735600000,9149,PENDING_PAYMENT
14,1374735600000,9842,PROCESSING
15,1374735600000,2568,COMPLETE
16,1374735600000,7276,PENDING_PAYMENT
17,1374735600000,2667,COMPLETE
18,1374735600000,1205,CLOSED
19,1374735600000,9488,PENDING_PAYMENT
20,1374735600000,9198,PROCESSING
21,1374735600000,2711,PENDING
22,1374735600000,333,COMPLETE
23,1374735600000,4367,PENDING_PAYMENT
24,1374735600000,11441,CLOSED
25,1374735600000,9503,CLOSED
26,1374735600000,7562,COMPLETE
27,1374735600000,3241,PENDING_PAYMENT
28,1374735600000,656,COMPLETE
29,1374735600000,196,PROCESSING
30,1374735600000,10039,PENDING_PAYMENT
31,1374735600000,6983,PAYMENT_REVIEW
32,1374735600000,3960,COMPLETE
33,1374735600000,5793,PENDING_PAYMENT
34,1374735600000,4189,PROCESSING
35,1374735600000,4840,COMPLETE
36,1374735600000,5649,PENDING
37,1374735600000,5863,CLOSED
38,1374735600000,11586,PROCESSING
39,1374735600000,8214,PENDING
40,1374735600000,12092,PENDING_PAYMENT
41,1374735600000,8136,PENDING_PAYMENT
42,1374735600000,9776,PENDING
43,1374735600000,7776,PENDING_PAYMENT
44,1374735600000,10500,PENDING
45,1374735600000,2636,COMPLETE
46,1374735600000,1549,ON_HOLD
47,1374735600000,8487,PENDING_PAYMENT
48,1374735600000,12186,PROCESSING
49,1374735600000,1871,PENDING
50,1374735600000,5225,CANCELED
51,1374735600000,12271,CLOSED
52,1374735600000,5126,PENDING_PAYMENT
53,1374735600000,4701,PROCESSING
54,1374735600000,10628,PENDING_PAYMENT
55,1374735600000,2052,PENDING
56,1374735600000,10519,COMPLETE
57,1374735600000,7073,CLOSED
58,1374735600000,9213,PENDING_PAYMENT
59,1374735600000,11644,PENDING_PAYMENT
60,1374735600000,8365,PENDING_PAYMENT
61,1374735600000,4791,CLOSED
62,1374735600000,9111,CLOSED
63,1374735600000,1148,COMPLETE
64,1374735600000,5579,PENDING_PAYMENT
65,1374735600000,5903,COMPLETE
66,1374735600000,1792,ON_HOLD
67,1374735600000,1406,COMPLETE
68,1374735600000,4320,PENDING
69,1374735600000,2821,SUSPECTED_FRAUD
70,1374735600000,11809,PENDING_PAYMENT
71,1374735600000,8646,COMPLETE
72,1374735600000,4349,COMPLETE
73,1374735600000,8504,PENDING_PAYMENT
74,1374735600000,662,PENDING_PAYMENT
75,1374735600000,2505,PENDING_PAYMENT
76,1374735600000,6898,COMPLETE
77,1374735600000,7915,PENDING_PAYMENT
78,1374735600000,8619,PAYMENT_REVIEW
79,1374735600000,7327,PENDING_PAYMENT
80,1374735600000,3007,COMPLETE
81,1374735600000,674,PROCESSING
82,1374735600000,3566,PENDING_PAYMENT
83,1374735600000,1265,COMPLETE
84,1374735600000,6789,PROCESSING
85,1374735600000,1485,PENDING
86,1374735600000,6680,PENDING_PAYMENT
87,1374735600000,3065,CLOSED
88,1374735600000,3809,COMPLETE
89,1374735600000,824,ON_HOLD
90,1374735600000,9131,CLOSED
91,1374735600000,8912,COMPLETE
92,1374735600000,6932,COMPLETE
93,1374735600000,2256,PENDING_PAYMENT
94,1374735600000,11589,PROCESSING
95,1374735600000,9032,COMPLETE
96,1374735600000,8683,PENDING
97,1374735600000,10784,PENDING
98,1374735600000,5243,COMPLETE
99,1374735600000,11542,PENDING_PAYMENT
100,1374735600000,12131,PROCESSING
101,1374735600000,5116,CLOSED
102,1374735600000,8027,COMPLETE
103,1374735600000,12256,PROCESSING
104,1374735600000,7790,PENDING_PAYMENT
105,1374822000000,8220,COMPLETE
106,1374822000000,395,PROCESSING
107,1374822000000,1845,COMPLETE
108,1374822000000,12149,PROCESSING
109,1374822000000,9345,PENDING_PAYMENT
110,1374822000000,2746,COMPLETE
111,1374822000000,4271,PROCESSING
112,1374822000000,5375,CANCELED
113,1374822000000,10216,PENDING_PAYMENT
114,1374822000000,2091,COMPLETE
115,1374822000000,104,PROCESSING
116,1374822000000,8763,CLOSED
117,1374822000000,58,SUSPECTED_FRAUD
118,1374822000000,1737,COMPLETE
119,1374822000000,8124,PENDING_PAYMENT
120,1374822000000,356,PENDING_PAYMENT
121,1374822000000,2074,PENDING
122,1374822000000,2071,PROCESSING
123,1374822000000,3695,PENDING_PAYMENT
124,1374822000000,2374,COMPLETE
125,1374822000000,4611,PENDING_PAYMENT
126,1374822000000,610,COMPLETE
127,1374822000000,5261,PENDING_PAYMENT
128,1374822000000,2772,PENDING_PAYMENT
129,1374822000000,9937,CLOSED
130,1374822000000,7509,PENDING_PAYMENT
131,1374822000000,10072,PROCESSING
132,1374822000000,289,PENDING
133,1374822000000,10604,CLOSED
